cost,prototypes,times,q,K,m,seed,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"8407,491451255726","[[1433, 1485], [840, 853], [685, 762], [1319, 1333], [254, 238], [1964, 1904], [588, 504], [1258, 1291], [1689, 1641], [132, 25]]",6,2,10,"1,1",18082101,81,"0,2623998195567707","0,6864678493119756","0,2623998195567707","0,6151158667274661","0,113","0,10120952989077817","0,887",189,159,248,143,201,259,222,93,250,236
"8559,39803989176","[[238, 254], [1179, 1086], [796, 642], [588, 524], [685, 683], [1433, 1485], [1118, 1025], [132, 25], [1319, 1333], [1964, 1808]]",5,2,10,"1,1",18082102,82,"0,28376807699727896","0,6759482575831767","0,28376807699727896","0,5716794307914739","0,09800000000000002","0,0986708554155877","0,902",191,87,88,226,170,187,139,347,377,188
"8887,694579924879","[[1898, 1901], [593, 479], [769, 775], [504, 479], [1319, 1333], [1179, 1086], [132, 25], [1655, 1689], [685, 604], [1754, 1726]]",6,2,10,"1,1",18082103,83,"0,38236653684291483","0,5433322647043379","0,38236653684291483","0,44426405112121276","0,1465","0,13150455276230394","0,8535",288,191,152,147,349,167,217,179,199,111
"8498,905392556677","[[1950, 1910], [1990, 1972], [1433, 1485], [1319, 1254], [1641, 1689], [685, 620], [588, 524], [840, 853], [132, 25], [1179, 1086]]",6,2,10,"1,1",18082104,84,"0,281373869020843","0,6701147447699943","0,281373869020843","0,5789562379307525","0,053","0,05092411599379604","0,947",163,171,190,234,211,285,212,169,223,142
"8505,023192114644","[[1834, 1881], [1118, 1025], [988, 938], [1366, 892], [132, 25], [504, 420], [238, 254], [685, 762], [1440, 1582], [591, 528]]",7,2,10,"1,1",18082105,85,"0,25070378813011157","0,7075351643369154","0,25070378813011157","0,5342883277412798","0,012","0,012357648896112901","0,988",229,214,162,202,347,170,193,196,173,114
"8655,949895286436","[[132, 25], [1689, 1655], [1319, 1333], [504, 524], [1956, 1854], [528, 462], [1842, 1887], [685, 620], [1433, 1485], [749, 641]]",6,2,10,"1,1",18082106,86,"0,3238442858650974","0,6254414108072226","0,3238442858650974","0,4992313331201534","0,108","0,10264046866014749","0,892",229,222,380,147,133,89,172,258,192,178
"8781,898045395586","[[1016, 1080], [1754, 1726], [1763, 1773], [1433, 1485], [685, 762], [132, 25], [1319, 1254], [892, 1366], [1689, 1792], [1834, 1881]]",6,2,10,"1,1",18082107,87,"0,3291538091824096","0,6251899654266622","0,3291538091824096","0,4993411642011446","0,272","0,27379481423990953","0,728",159,99,99,372,238,216,227,167,132,291
"8565,095270418498","[[1016, 1080], [1834, 1808], [1047, 699], [591, 593], [238, 278], [1440, 1582], [132, 25], [1319, 1333], [685, 762], [504, 524]]",5,2,10,"1,1",18082108,88,"0,2875398029390201","0,668972881104303","0,2875398029390201","0,5670875716391959","0,0215","0,022774964301188604","0,9785",152,224,47,123,190,176,347,388,188,165
"8595,121790923504","[[1016, 1080], [1258, 1254], [132, 25], [1011, 1140], [840, 929], [1357, 1322], [254, 238], [588, 524], [685, 762], [1518, 1558]]",8,2,10,"1,1",18082109,89,"0,2735225501157775","0,6798549416048495","0,2735225501157775","0,5368178600794945","0,1505","0,14670372085524422","0,8495",130,141,343,132,142,122,206,266,210,308
"8484,079510042879","[[685, 762], [1440, 1582], [1792, 1641], [1440, 1582], [1964, 1810], [1016, 1080], [132, 25], [1319, 1333], [238, 254], [588, 524]]",8,2,10,"1,1",18082110,90,"0,27028853935398595","0,6809115628542534","0,27028853935398595","0,6441539372664896","0,079","0,08825256723086435","0,921",206,0,181,164,233,155,228,379,211,243
